,,price,price,price,power,power,power,mileage,mileage,mileage,fuelConsumption,fuelConsumption,fuelConsumption,age,age,age
,,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max
Audi,R8,115453.81375358166,39990,315056,539.3866279069767,420.0,999.0,45708.04584527221,10.0,195000.0,13.177142857142881,8.5,14.9,6.882521489971347,0,15
Audi,RS,106888.8115942029,35000,183990,491.2463768115942,193.0,960.0,26384.36231884058,1.0,153000.0,9.82820512820513,8.3,14.6,2.1594202898550723,0,19
Audi,RS Q3,72818.76519916143,24900,119999,393.7857142857143,230.0,619.0,21751.32075471698,1.0,174000.0,8.816216216216246,1.0,10.1,1.6603773584905661,0,9
Audi,RS Q8,161798.93956043955,40000,265970,600.9226519337017,286.0,740.0,20055.659340659342,7.0,94900.0,12.219411764705868,7.8,13.7,1.3021978021978022,0,3
Audi,RS3,59671.859036144575,19999,110990,396.8995157384988,300.0,620.0,38684.45542168675,0.0,235000.0,8.414738510301126,6.0,12.0,3.0120481927710845,0,11
Audi,RS4,71221.58602150538,21400,122900,446.6900269541779,295.0,650.0,66569.4204851752,85.0,285000.0,9.712693498452015,8.0,13.9,5.344086021505376,0,22
Audi,RS5,73670.11186440678,19950,138680,452.2508474576271,449.0,530.0,46985.50508474576,10.0,193242.0,9.243560606060598,1.5,10.8,3.952542372881356,0,12
Audi,RS6,112430.20728643217,12490,329900,592.2540880503145,5.0,999.0,57298.0716080402,1.0,307952.0,10.771114369501431,1.0,14.8,4.199748743718593,0,20
Audi,RS7,103904.73394495413,47900,289990,594.3333333333334,559.0,740.0,58363.22935779816,20.0,203520.0,10.469473684210527,9.3,12.3,4.486238532110092,0,9
Audi,S1,26019.02985074627,12290,69900,233.3134328358209,122.0,310.0,70753.88059701493,9520.0,175000.0,7.1,5.4,7.3,6.0,4,10
Audi,S3,37184.3870967742,6900,74900,299.91093117408906,209.0,450.0,69586.39784946236,1.0,279000.0,7.239269406392701,4.6,10.0,5.485215053763441,0,22
Audi,S4,36438.56418918919,2900,95555,343.7016949152542,131.0,465.0,107084.59797297297,500.0,336000.0,9.021072796934867,6.2,13.9,8.530405405405405,0,22
Audi,S5,44228.67156862745,11900,119900,349.4778325123153,333.0,470.0,81904.50980392157,1.0,248484.0,8.099720670391038,4.7,12.4,6.029411764705882,0,15
Audi,S6,58012.57627118644,990,113480,376.1501210653753,150.0,556.0,79788.37288135593,25.0,358000.0,8.357258064516145,6.2,14.6,5.455205811138015,0,22
Audi,S7,74889.86458333333,28990,123785,383.5416666666667,344.0,450.0,48365.802083333336,10.0,163850.0,7.602222222222219,6.0,9.6,3.6979166666666665,0,10
Audi,S8,68624.53333333334,7995,175906,537.2153846153847,349.0,721.0,91844.26666666666,10.0,340000.0,10.790449438202245,6.5,14.3,6.871794871794871,0,22
Audi,SQ2,45518.85365853659,19990,67500,294.8292682926829,116.0,360.0,25509.09756097561,1.0,93000.0,8.119444444444447,7.0,70.0,2.073170731707317,0,5
Audi,SQ3,54095.0,33800,74390,383.5,367.0,400.0,74950.0,100.0,149800.0,8.8,8.6,9.0,3.0,0,6
Audi,SQ5,53847.352572145544,15999,109900,339.5672955974843,313.0,430.0,73897.3601003764,1.0,397000.0,7.288764044943858,5.8,12.1,4.08030112923463,0,9
Audi,SQ7,79382.9251497006,43500,249950,444.27245508982037,272.0,649.0,81491.64071856288,20.0,250000.0,8.03694915254236,7.2,14.0,3.5988023952095807,0,7
Audi,SQ8,127333.42352941177,69000,199990,467.21176470588233,435.0,508.0,33133.7294117647,1.0,152650.0,9.657999999999989,6.8,12.8,1.5411764705882354,0,3
Audi,TT,26107.782302664655,2250,70860,207.41069626639757,150.0,400.0,94455.47209653092,0.0,366000.0,6.875846242111207,1.7,10.7,8.834087481146305,0,22
Audi,TT RS,60833.113772455086,10000,99900,393.4850299401198,245.0,680.0,42163.59880239521,86.0,172500.0,8.453237410071944,6.8,9.5,4.538922155688622,0,13
Audi,TTS,39950.52032520325,9750,76500,299.3861788617886,160.0,320.0,66625.94715447155,80.0,314229.0,7.440845070422538,6.7,9.4,6.036585365853658,0,16
Audi,V8,27290.0,15990,55990,384.4,326.0,528.0,120751.4,46500.0,188761.0,,,,14.0,7,19
Audi,e-tron,74862.7753968254,50980,169900,349.69456066945605,156.0,598.0,12213.848292295472,0.0,94210.0,23.3,22.6,24.6,1.2380952380952381,0,4
Audi,e-tron GT,128613.74285714286,84567,178803,466.5771812080537,190.0,646.0,5801.628571428571,1.0,32095.0,,,,0.5542857142857143,0,3
BMW,114,13750.204633204634,5750,32990,99.46303501945525,95.0,209.0,96956.45559845559,1.0,259040.0,4.830978260869574,3.6,6.0,6.93050193050193,1,10
BMW,116,16577.055524079322,1200,35007,117.6383826879271,95.0,211.0,92229.80346492474,0.0,332523.0,4.8050035486160105,1.1,7.8,6.352407932011332,0,18
BMW,118,19038.397793263648,1499,51967,141.95243653341115,116.0,190.0,82420.64314868805,1.0,475000.0,5.240616710875276,2.8,99.9,5.745063879210221,0,18
BMW,120,24230.360684769777,2300,58090,183.98041543026707,143.0,265.0,77495.05384615385,1.0,361256.0,5.179223433242506,3.0,8.0,5.470484061393153,0,18
BMW,123,9523.935483870968,5000,16490,204.09677419354838,204.0,207.0,193325.12903225806,85000.0,316200.0,5.451851851851853,5.1,6.6,12.64516129032258,10,15
BMW,125,21804.695187165777,7900,31890,222.2663043478261,218.0,296.0,99186.42780748663,17186.0,243762.0,5.944910179640718,4.3,9.1,6.593582887700535,3,14
BMW,128,42059.491228070176,10900,64950,263.63157894736844,234.0,269.0,19119.684210526317,15.0,157211.0,6.195121951219511,6.0,6.9,1.6491228070175439,0,12
BMW,130,15468.958333333334,6499,36875,263.95652173913044,258.0,266.0,159646.70833333334,22108.0,315000.0,8.820000000000002,8.3,9.4,14.708333333333334,11,17
BMW,135,38848.40524781341,15999,65110,310.92397660818716,224.0,465.0,50660.6129032258,1.0,256000.0,7.230952380952368,6.3,9.8,3.9620991253644315,0,15
BMW,140,34770.842767295595,8999,49990,340.39354838709676,306.0,430.0,58184.42767295597,7565.0,345567.0,7.509523809523799,6.7,9.3,4.018867924528302,1,6
BMW,1er M Coupé,37916.769230769234,6990,69990,247.84615384615384,116.0,390.0,92103.48076923077,49.0,318000.0,6.4916666666666645,3.9,9.7,8.01923076923077,1,14
BMW,2002,40420.0,39950,40890,167.0,150.0,184.0,31139.5,10391.0,51888.0,6.6,6.6,6.6,2.5,1,4
BMW,214,17966.522727272728,9945,46990,103.97727272727273,95.0,218.0,97004.77272727272,1.0,247971.0,4.172413793103447,3.6,6.6,5.090909090909091,0,7
